id,symbol,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR.Blocked outlets.OR,Gate,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR.Blocked outlets.OR.Obstruction \n by external \n elements,BE1,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR.Blocked outlets.OR.Winter road \n maintenance \n causing \n deterioration,BE3,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR.Blocked outlets.OR.Trash \n accumulation,BE4,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR.Blocked outlets.OR.Clogging,BE8,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR.Blocked outlets.OR.Overly dense \n vegetation,BE16,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR.Blocked outlets.OR.Mulch \n accumulation,BE29,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR.Blocked outlets.OR.Blockage of \n drainage layer,IE20,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR.Blocked outlets.OR.Blockage of \n drainage layer.AND,Gate,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR.Blocked outlets.OR.Blockage of \n drainage layer.AND.Layers \n exposed,BE30,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR.Blocked outlets.OR.Blockage of \n drainage layer.AND.OR,Gate,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR.Blocked outlets.OR.Blockage of \n drainage layer.AND.OR.Migration of \n filter media \n into the \n drainage layer,BE31,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR.Blocked outlets.OR.Blockage of \n drainage layer.AND.OR.Root \n penetration,BE32,
Top Event.Runoff \nQuantity Control \nFailure.OR.Main channel/ponding \n area deteriorated.OR.Inadequate \n water retention \n by soil.OR.High \n soil moisture.OR.Blocked outlets.OR.Blocked \n underdrain pipe,IE21,
