id,symbol,
Top Event.Additional \nService Function \nFailures.OR.Aesthetic failures.OR.Unattractive \n appearance \n of main ponding area.OR.Deterioration of \n components.OR.AND.Wash off,BE36,
Top Event.Additional \nService Function \nFailures.OR.Health hazards,IE34,
Top Event.Additional \nService Function \nFailures.OR.Health hazards.OR,Gate,
Top Event.Additional \nService Function \nFailures.OR.Health hazards.OR.Runoff \nQuality Control \nFailures,SF2-triangle,
Top Event.Additional \nService Function \nFailures.OR.Health hazards.OR.Change in \n land use patterns \n in the area,BE33,
Top Event.Additional \nService Function \nFailures.OR.Health hazards.OR.Hotspot for \n diseases,IE35,
Top Event.Additional \nService Function \nFailures.OR.Health hazards.OR.Hotspot for \n diseases.OR,Gate,
Top Event.Additional \nService Function \nFailures.OR.Health hazards.OR.Hotspot for \n diseases.OR.Trash \n accumulation,BE4,
Top Event.Additional \nService Function \nFailures.OR.Health hazards.OR.Hotspot for \n diseases.OR.Invasive plants \n taking over,BE6,
Top Event.Additional \nService Function \nFailures.OR.Health hazards.OR.Hotspot for \n diseases.OR.Animal \n excrement,BE35,
Top Event.Additional \nService Function \nFailures.OR.Health hazards.OR.Hotspot for \n diseases.OR.Pathogen and \n Bacteria \n Contamination,BE44,
Top Event.Additional \nService Function \nFailures.OR.Health hazards.OR.Hotspot for \n diseases.OR.Appearance of \n mosquitos or \n other insects,BE45,
Top Event.Additional \nService Function \nFailures.OR.No effect on \n urban microclimates,IE36,
Top Event.Additional \nService Function \nFailures.OR.No effect on \n urban microclimates.OR,Gate,
Top Event.Additional \nService Function \nFailures.OR.No effect on \n urban microclimates.OR.Low \n evapotranspiration,IE12,
Top Event.Additional \nService Function \nFailures.OR.No effect on \n urban microclimates.OR.Low \n evapotranspiration.OR,Gate,
Top Event.Additional \nService Function \nFailures.OR.No effect on \n urban microclimates.OR.Low \n evapotranspiration.OR.Plants not \n thriving,BE10,
Top Event.Additional \nService Function \nFailures.OR.No effect on \n urban microclimates.OR.Low \n evapotranspiration.OR.Sunlight \n obstruction,BE17,
Top Event.Additional \nService Function \nFailures.OR.No effect on \n urban microclimates.OR.Inadequate \n water retention \n by soil,IE13,
Top Event.Additional \nService Function \nFailures.OR.No effect on \n urban microclimates.OR.Inadequate \n water retention \n by soil.OR,Gate,
Top Event.Additional \nService Function \nFailures.OR.No effect on \n urban microclimates.OR.Inadequate \n water retention \n by soil.OR.Winter road \n maintenance \n causing \n deterioration,BE3,
Top Event.Additional \nService Function \nFailures.OR.No effect on \n urban microclimates.OR.Inadequate \n water retention \n by soil.OR.Deterioration \n by external \n factors,BE9,
Top Event.Additional \nService Function \nFailures.OR.No effect on \n urban microclimates.OR.No shading \n effects,IE37,
Top Event.Additional \nService Function \nFailures.OR.No effect on \n urban microclimates.OR.No shading \n effects.OR,Gate,
Top Event.Additional \nService Function \nFailures.OR.No effect on \n urban microclimates.OR.No shading \n effects.OR.Loss of shading \n due to \n damages,BE46,
Top Event.Additional \nService Function \nFailures.OR.No effect on \n urban microclimates.OR.No shading \n effects.OR.Trees \n not thriving,BE47,
Top Event.Additional \nService Function \nFailures.OR.Ineffective \n noise attenuation,IE38,
Top Event.Additional \nService Function \nFailures.OR.Ineffective \n noise attenuation.OR,Gate,
Top Event.Additional \nService Function \nFailures.OR.Ineffective \n noise attenuation.OR.Inadequate \n vegetative \n cover,BE43,
Top Event.Additional \nService Function \nFailures.OR.Ineffective \n noise attenuation.OR.Insufficient \n soil depth,BE48,
Top Event.Additional \nService Function \nFailures.OR.Limited \n recreational \n potential,IE39,
Top Event.Additional \nService Function \nFailures.OR.Limited \n recreational \n potential.OR,Gate,
Top Event.Additional \nService Function \nFailures.OR.Limited \n recreational \n potential.OR.Constraints \n to use \n rooftop area,BE49,
Top Event.Additional \nService Function \nFailures.OR.Limited \n recreational \n potential.OR.Vegetation \n free zones \n not available,BE50,
Top Event.Additional \nService Function \nFailures.OR.Damage to \n the structural \n integrity \n of the roof,IE40,
Top Event.Additional \nService Function \nFailures.OR.Damage to \n the structural \n integrity \n of the roof.OR,Gate,
Top Event.Additional \nService Function \nFailures.OR.Damage to \n the structural \n integrity \n of the roof.OR.Degradation of \n non-vegetated \n area,IE41,
Top Event.Additional \nService Function \nFailures.OR.Damage to \n the structural \n integrity \n of the roof.OR.Degradation of \n non-vegetated \n area.OR,Gate,
Top Event.Additional \nService Function \nFailures.OR.Damage to \n the structural \n integrity \n of the roof.OR.Degradation of \n non-vegetated \n area.OR.Invasive plants \n taking over,BE6,
Top Event.Additional \nService Function \nFailures.OR.Damage to \n the structural \n integrity \n of the roof.OR.Degradation of \n non-vegetated \n area.OR.Deterioration \n by external \n factors,BE9,
Top Event.Additional \nService Function \nFailures.OR.Damage to \n the structural \n integrity \n of the roof.OR.Degradation of \n protective \n layers,IE42,
Top Event.Additional \nService Function \nFailures.OR.Damage to \n the structural \n integrity \n of the roof.OR.Degradation of \n protective \n layers.OR,Gate,
Top Event.Additional \nService Function \nFailures.OR.Damage to \n the structural \n integrity \n of the roof.OR.Degradation of \n protective \n layers.OR.Layers exposed,BE30,
Top Event.Additional \nService Function \nFailures.OR.Damage to \n the structural \n integrity \n of the roof.OR.Degradation of \n protective \n layers.OR.Root \n penetration,BE32,
Top Event.Additional \nService Function \nFailures.OR.Damage to \n the structural \n integrity \n of the roof.OR.Degradation of \n protective \n layers.OR.Detachment of \n layers \n from roof,BE52,
Top Event.Additional \nService Function \nFailures.OR.Damage to \n the structural \n integrity \n of the roof.OR.Degradation of \n protective \n layers.OR.Wind uplift,BE53,
Top Event.Additional \nService Function \nFailures.OR.Damage to \n the structural \n integrity \n of the roof.OR.Degradation of \n protective \n layers.OR.Leak detection \n system \n malfunction,IE43,
Top Event.Additional \nService Function \nFailures.OR.Damage to \n the structural \n integrity \n of the roof.OR.Degradation of \n protective \n layers.OR.Leak detection \n system \n malfunction.OR,Gate,
Top Event.Additional \nService Function \nFailures.OR.Damage to \n the structural \n integrity \n of the roof.OR.Degradation of \n protective \n layers.OR.Leak detection \n system \n malfunction.OR.Root \n penetration,BE32,
Top Event.Additional \nService Function \nFailures.OR.Damage to \n the structural \n integrity \n of the roof.OR.Degradation of \n protective \n layers.OR.Leak detection \n system \n malfunction.OR.Physical damage \n to power \n cables,BE51,
Top Event.Additional \nService Function \nFailures.OR.No effect \n on biodiversity \n enhancement,IE44,
Top Event.Additional \nService Function \nFailures.OR.No effect \n on biodiversity \n enhancement.OR,Gate,
Top Event.Additional \nService Function \nFailures.OR.No effect \n on biodiversity \n enhancement.OR.Degradation of \n green infrastructure an \n habitat,BE54,
Top Event.Additional \nService Function \nFailures.OR.No effect \n on biodiversity \n enhancement.OR.Insufficient \n plant species,IE45,
Top Event.Additional \nService Function \nFailures.OR.No effect \n on biodiversity \n enhancement.OR.Insufficient \n plant species.OR,Gate,
Top Event.Additional \nService Function \nFailures.OR.No effect \n on biodiversity \n enhancement.OR.Insufficient \n plant species.OR.Invasive plants \n taking over,BE6,
Top Event.Additional \nService Function \nFailures.OR.No effect \n on biodiversity \n enhancement.OR.Insufficient \n plant species.OR.Plants not \n thriving,BE10,
Top Event.Additional \nService Function \nFailures.OR.No effect \n on biodiversity \n enhancement.OR.Insufficient \n plant species.OR.Overly dense \n vegetation,BE16,
